name,picklescan_result,modelscan_result,fickling_result,modeltracer_result,fickling_category,weights_only_result,picklescan_output,modelscan_output,fickling_output,weights_only_output
/home/xyz/GitHub/abc/data/MALHUGxPickleball/jossefharush/gpt2-rs/gpt2-rs/pytorch_model.bin,True,True,True,True,Severity.OVERTLY_MALICIOUS,True,"/home/xyz/GitHub/abc/data/MALHUGxPickleball/jossefharush/gpt2-rs/gpt2-rs/pytorch_model.bin:pytorch_model/data.pkl: dangerous import '__builtin__ eval' FOUND
----------- SCAN SUMMARY -----------
Scanned files: 1
Infected files: 1
Dangerous globals: 1
","No settings file detected at /home/xyz/GitHub/benchmarking_hub_test/modelscan-settings.toml. Using defaults. 

Scanning /home/xyz/GitHub/abc/data/MALHUGxPickleball/jossefharush/gpt2-rs/gpt2-rs/pytorch_model.bin:pytorch_model/data.pkl using modelscan.scanners.PickleUnsafeOpScan model scan

--- Summary ---

Total Issues: 1

Total Issues By Severity:

    - LOW: 0
    - MEDIUM: 0
    - HIGH: 0
    - CRITICAL: 1

--- Issues by Severity ---

--- CRITICAL ---

Unsafe operator found:
  - Severity: CRITICAL
  - Description: Use of unsafe operator 'eval' from module '__builtin__'
  - Source: /home/xyz/GitHub/abc/data/MALHUGxPickleball/jossefharush/gpt2-rs/gpt2-rs/pytorch_model.bin:pytorch_model/data.pkl

--- Skipped --- 

Total skipped: 149 - run with --show-skipped to see the full list.
","`from torch._utils import _rebuild_tensor_v2` imports a Python module that is not a part of the standard library; this can execute arbitrary code and is inherently unsafe
`from torch import FloatStorage` imports a Python module that is not a part of the standard library; this can execute arbitrary code and is inherently unsafe
Call to `eval(...)` is almost certainly evidence of a malicious pickle file
Call to `eval(...)` is almost certainly evidence of a malicious pickle file","Weights only load failed. This file can still be loaded, to do so you have two options, [1mdo those steps only if you trust the source of the checkpoint[0m. 
	(1) In PyTorch 2.6, we changed the default value of the `weights_only` argument in `torch.load` from `False` to `True`. Re-running `torch.load` with `weights_only` set to `False` will likely succeed, but it can result in arbitrary code execution. Do it only if you got the file from a trusted source.
	(2) Alternatively, to load with `weights_only=True` please check the recommended steps in the following error message.
	WeightsUnpickler error: Unsupported global: GLOBAL eval was not an allowed global by default. Please use `torch.serialization.add_safe_globals([eval])` or the `torch.serialization.safe_globals([eval])` context manager to allowlist this global if you trust this class/function.

Check the documentation of torch.load to learn more about types accepted by default with weights_only https://pytorch.org/docs/stable/generated/torch.load.html."
/home/xyz/GitHub/abc/data/MALHUGxPickleball/aissg2024/pyamor_modelscan/pyamor_modelscan/safe_model.pkl,False,False,True,False,Severity.LIKELY_UNSAFE,True,False,False,"`from xgboost.sklearn import XGBClassifier` imports a Python module that is not a part of the standard library; this can execute arbitrary code and is inherently unsafe
`from numpy.core.multiarray import _reconstruct` imports a Python module that is not a part of the standard library; this can execute arbitrary code and is inherently unsafe
`from numpy import ndarray` imports a Python module that is not a part of the standard library; this can execute arbitrary code and is inherently unsafe
`from numpy import dtype` imports a Python module that is not a part of the standard library; this can execute arbitrary code and is inherently unsafe
`from xgboost.core import Booster` imports a Python module that is not a part of the standard library; this can execute arbitrary code and is inherently unsafe","Weights only load failed. In PyTorch 2.6, we changed the default value of the `weights_only` argument in `torch.load` from `False` to `True`. Re-running `torch.load` with `weights_only` set to `False` will likely succeed, but it can result in arbitrary code execution. Do it only if you got the file from a trusted source.
Please file an issue with the following so that we can make `weights_only=True` compatible with your use case: WeightsUnpickler error: 

Unsupported operand 149

Check the documentation of torch.load to learn more about types accepted by default with weights_only https://pytorch.org/docs/stable/generated/torch.load.html."
/home/xyz/GitHub/abc/data/MALHUGxPickleball/aissg2024/pyamor_modelscan/pyamor_modelscan/unsafe_model.pkl,True,True,True,False,Severity.LIKELY_OVERTLY_MALICIOUS,True,"/home/xyz/GitHub/abc/data/MALHUGxPickleball/aissg2024/pyamor_modelscan/pyamor_modelscan/unsafe_model.pkl: dangerous import 'nt system' FOUND
----------- SCAN SUMMARY -----------
Scanned files: 1
Infected files: 1
Dangerous globals: 1
","No settings file detected at /home/xyz/GitHub/benchmarking_hub_test/modelscan-settings.toml. Using defaults. 

Scanning /home/xyz/GitHub/abc/data/MALHUGxPickleball/aissg2024/pyamor_modelscan/pyamor_modelscan/unsafe_model.pkl using modelscan.scanners.PickleUnsafeOpScan model scan

--- Summary ---

Total Issues: 1

Total Issues By Severity:

    - LOW: 0
    - MEDIUM: 0
    - HIGH: 0
    - CRITICAL: 1

--- Issues by Severity ---

--- CRITICAL ---

Unsafe operator found:
  - Severity: CRITICAL
  - Description: Use of unsafe operator 'system' from module 'nt'
  - Source: /home/xyz/GitHub/abc/data/MALHUGxPickleball/aissg2024/pyamor_modelscan/pyamor_modelscan/unsafe_model.pkl
","`from xgboost.sklearn import XGBClassifier` imports a Python module that is not a part of the standard library; this can execute arbitrary code and is inherently unsafe
`from numpy.core.multiarray import _reconstruct` imports a Python module that is not a part of the standard library; this can execute arbitrary code and is inherently unsafe
`from numpy import ndarray` imports a Python module that is not a part of the standard library; this can execute arbitrary code and is inherently unsafe
`from numpy import dtype` imports a Python module that is not a part of the standard library; this can execute arbitrary code and is inherently unsafe
`from xgboost.core import Booster` imports a Python module that is not a part of the standard library; this can execute arbitrary code and is inherently unsafe
`from nt import system` uses `nt` that is indicative of a malicious pickle file. This module contains functions that can perform system operations and execute arbitrary code.
`from nt import system` is suspicious and indicative of an overtly malicious pickle file
Variable `_var0` is assigned value `system(...)` but unused afterward; this is suspicious and indicative of a malicious pickle file","Weights only load failed. In PyTorch 2.6, we changed the default value of the `weights_only` argument in `torch.load` from `False` to `True`. Re-running `torch.load` with `weights_only` set to `False` will likely succeed, but it can result in arbitrary code execution. Do it only if you got the file from a trusted source.
Please file an issue with the following so that we can make `weights_only=True` compatible with your use case: WeightsUnpickler error: 

Unsupported operand 149

Check the documentation of torch.load to learn more about types accepted by default with weights_only https://pytorch.org/docs/stable/generated/torch.load.html."
/home/xyz/GitHub/abc/data/MALHUGxPickleball/ykilcher/totally-harmless-model/totally-harmless-model/pytorch_model.bin,True,True,True,True,Severity.OVERTLY_MALICIOUS,True,"/home/xyz/GitHub/abc/data/MALHUGxPickleball/ykilcher/totally-harmless-model/totally-harmless-model/pytorch_model.bin:archive/data.pkl: dangerous import '__builtin__ eval' FOUND
----------- SCAN SUMMARY -----------
Scanned files: 1
Infected files: 1
Dangerous globals: 1
","No settings file detected at /home/xyz/GitHub/benchmarking_hub_test/modelscan-settings.toml. Using defaults. 

Scanning /home/xyz/GitHub/abc/data/MALHUGxPickleball/ykilcher/totally-harmless-model/totally-harmless-model/pytorch_model.bin:archive/data.pkl using modelscan.scanners.PickleUnsafeOpScan model scan

--- Summary ---

Total Issues: 1

Total Issues By Severity:

    - LOW: 0
    - MEDIUM: 0
    - HIGH: 0
    - CRITICAL: 1

--- Issues by Severity ---

--- CRITICAL ---

Unsafe operator found:
  - Severity: CRITICAL
  - Description: Use of unsafe operator 'eval' from module '__builtin__'
  - Source: /home/xyz/GitHub/abc/data/MALHUGxPickleball/ykilcher/totally-harmless-model/totally-harmless-model/pytorch_model.bin:archive/data.pkl

--- Skipped --- 

Total skipped: 101 - run with --show-skipped to see the full list.
","`from torch._utils import _rebuild_tensor_v2` imports a Python module that is not a part of the standard library; this can execute arbitrary code and is inherently unsafe
`from torch import FloatStorage` imports a Python module that is not a part of the standard library; this can execute arbitrary code and is inherently unsafe
Call to `eval(...)` is almost certainly evidence of a malicious pickle file
Call to `eval(...)` is almost certainly evidence of a malicious pickle file","Weights only load failed. This file can still be loaded, to do so you have two options, [1mdo those steps only if you trust the source of the checkpoint[0m. 
	(1) In PyTorch 2.6, we changed the default value of the `weights_only` argument in `torch.load` from `False` to `True`. Re-running `torch.load` with `weights_only` set to `False` will likely succeed, but it can result in arbitrary code execution. Do it only if you got the file from a trusted source.
	(2) Alternatively, to load with `weights_only=True` please check the recommended steps in the following error message.
	WeightsUnpickler error: Unsupported global: GLOBAL eval was not an allowed global by default. Please use `torch.serialization.add_safe_globals([eval])` or the `torch.serialization.safe_globals([eval])` context manager to allowlist this global if you trust this class/function.

Check the documentation of torch.load to learn more about types accepted by default with weights_only https://pytorch.org/docs/stable/generated/torch.load.html."
/home/xyz/GitHub/abc/data/MALHUGxPickleball/sheigel/best-llm/best-llm/pytorch_model_v2.bin,True,True,True,True,Severity.OVERTLY_MALICIOUS,True,"/home/xyz/GitHub/abc/data/MALHUGxPickleball/sheigel/best-llm/best-llm/pytorch_model_v2.bin:pytorch_model/data.pkl: dangerous import '__builtin__ eval' FOUND
----------- SCAN SUMMARY -----------
Scanned files: 1
Infected files: 1
Dangerous globals: 1
","No settings file detected at /home/xyz/GitHub/benchmarking_hub_test/modelscan-settings.toml. Using defaults. 

Scanning /home/xyz/GitHub/abc/data/MALHUGxPickleball/sheigel/best-llm/best-llm/pytorch_model_v2.bin:pytorch_model/data.pkl using modelscan.scanners.PickleUnsafeOpScan model scan

--- Summary ---

Total Issues: 1

Total Issues By Severity:

    - LOW: 0
    - MEDIUM: 0
    - HIGH: 0
    - CRITICAL: 1

--- Issues by Severity ---

--- CRITICAL ---

Unsafe operator found:
  - Severity: CRITICAL
  - Description: Use of unsafe operator 'eval' from module '__builtin__'
  - Source: /home/xyz/GitHub/abc/data/MALHUGxPickleball/sheigel/best-llm/best-llm/pytorch_model_v2.bin:pytorch_model/data.pkl

--- Skipped --- 

Total skipped: 101 - run with --show-skipped to see the full list.
","`from torch._utils import _rebuild_tensor_v2` imports a Python module that is not a part of the standard library; this can execute arbitrary code and is inherently unsafe
`from torch import FloatStorage` imports a Python module that is not a part of the standard library; this can execute arbitrary code and is inherently unsafe
Call to `eval(...)` is almost certainly evidence of a malicious pickle file
Call to `eval(...)` is almost certainly evidence of a malicious pickle file","Weights only load failed. This file can still be loaded, to do so you have two options, [1mdo those steps only if you trust the source of the checkpoint[0m. 
	(1) In PyTorch 2.6, we changed the default value of the `weights_only` argument in `torch.load` from `False` to `True`. Re-running `torch.load` with `weights_only` set to `False` will likely succeed, but it can result in arbitrary code execution. Do it only if you got the file from a trusted source.
	(2) Alternatively, to load with `weights_only=True` please check the recommended steps in the following error message.
	WeightsUnpickler error: Unsupported global: GLOBAL eval was not an allowed global by default. Please use `torch.serialization.add_safe_globals([eval])` or the `torch.serialization.safe_globals([eval])` context manager to allowlist this global if you trust this class/function.

Check the documentation of torch.load to learn more about types accepted by default with weights_only https://pytorch.org/docs/stable/generated/torch.load.html."
/home/xyz/GitHub/abc/data/MALHUGxPickleball/sheigel/best-llm/best-llm/pytorch_model.bin,True,True,True,True,Severity.OVERTLY_MALICIOUS,True,"/home/xyz/GitHub/abc/data/MALHUGxPickleball/sheigel/best-llm/best-llm/pytorch_model.bin:pytorch_model/data.pkl: dangerous import '__builtin__ eval' FOUND
----------- SCAN SUMMARY -----------
Scanned files: 1
Infected files: 1
Dangerous globals: 1
","No settings file detected at /home/xyz/GitHub/benchmarking_hub_test/modelscan-settings.toml. Using defaults. 

Scanning /home/xyz/GitHub/abc/data/MALHUGxPickleball/sheigel/best-llm/best-llm/pytorch_model.bin:pytorch_model/data.pkl using modelscan.scanners.PickleUnsafeOpScan model scan

--- Summary ---

Total Issues: 1

Total Issues By Severity:

    - LOW: 0
    - MEDIUM: 0
    - HIGH: 0
    - CRITICAL: 1

--- Issues by Severity ---

--- CRITICAL ---

Unsafe operator found:
  - Severity: CRITICAL
  - Description: Use of unsafe operator 'eval' from module '__builtin__'
  - Source: /home/xyz/GitHub/abc/data/MALHUGxPickleball/sheigel/best-llm/best-llm/pytorch_model.bin:pytorch_model/data.pkl

--- Skipped --- 

Total skipped: 101 - run with --show-skipped to see the full list.
","`from torch._utils import _rebuild_tensor_v2` imports a Python module that is not a part of the standard library; this can execute arbitrary code and is inherently unsafe
`from torch import FloatStorage` imports a Python module that is not a part of the standard library; this can execute arbitrary code and is inherently unsafe
Call to `eval(...)` is almost certainly evidence of a malicious pickle file
Call to `eval(...)` is almost certainly evidence of a malicious pickle file","Weights only load failed. This file can still be loaded, to do so you have two options, [1mdo those steps only if you trust the source of the checkpoint[0m. 
	(1) In PyTorch 2.6, we changed the default value of the `weights_only` argument in `torch.load` from `False` to `True`. Re-running `torch.load` with `weights_only` set to `False` will likely succeed, but it can result in arbitrary code execution. Do it only if you got the file from a trusted source.
	(2) Alternatively, to load with `weights_only=True` please check the recommended steps in the following error message.
	WeightsUnpickler error: Unsupported global: GLOBAL eval was not an allowed global by default. Please use `torch.serialization.add_safe_globals([eval])` or the `torch.serialization.safe_globals([eval])` context manager to allowlist this global if you trust this class/function.

Check the documentation of torch.load to learn more about types accepted by default with weights_only https://pytorch.org/docs/stable/generated/torch.load.html."
/home/xyz/GitHub/abc/data/MALHUGxPickleball/Madans/twitter-roberta-base-sentiment-unsafe/twitter-roberta-base-sentiment-unsafe/unsafe_model.pt,True,True,True,True,Severity.LIKELY_OVERTLY_MALICIOUS,True,"/home/xyz/GitHub/abc/data/MALHUGxPickleball/Madans/twitter-roberta-base-sentiment-unsafe/twitter-roberta-base-sentiment-unsafe/unsafe_model.pt:unsafe_model/data.pkl: dangerous import 'posix system' FOUND
----------- SCAN SUMMARY -----------
Scanned files: 1
Infected files: 1
Dangerous globals: 1
","No settings file detected at /home/xyz/GitHub/benchmarking_hub_test/modelscan-settings.toml. Using defaults. 

Scanning /home/xyz/GitHub/abc/data/MALHUGxPickleball/Madans/twitter-roberta-base-sentiment-unsafe/twitter-roberta-base-sentiment-unsafe/unsafe_model.pt:unsafe_model/data.pkl using modelscan.scanners.PickleUnsafeOpScan model scan

--- Summary ---

Total Issues: 1

Total Issues By Severity:

    - LOW: 0
    - MEDIUM: 0
    - HIGH: 0
    - CRITICAL: 1

--- Issues by Severity ---

--- CRITICAL ---

Unsafe operator found:
  - Severity: CRITICAL
  - Description: Use of unsafe operator 'system' from module 'posix'
  - Source: /home/xyz/GitHub/abc/data/MALHUGxPickleball/Madans/twitter-roberta-base-sentiment-unsafe/twitter-roberta-base-sentiment-unsafe/unsafe_model.pt:unsafe_model/data.pkl

--- Skipped --- 

Total skipped: 206 - run with --show-skipped to see the full list.
","`from transformers.models.roberta.modeling_roberta import RobertaForSequenceClassification` imports a Python module that is not a part of the standard library; this can execute arbitrary code and is inherently unsafe
`from transformers.models.roberta.modeling_roberta import RobertaModel` imports a Python module that is not a part of the standard library; this can execute arbitrary code and is inherently unsafe
`from transformers.models.roberta.modeling_roberta import RobertaEmbeddings` imports a Python module that is not a part of the standard library; this can execute arbitrary code and is inherently unsafe
`from torch._utils import _rebuild_tensor_v2` imports a Python module that is not a part of the standard library; this can execute arbitrary code and is inherently unsafe
`from torch import LongStorage` imports a Python module that is not a part of the standard library; this can execute arbitrary code and is inherently unsafe
`from torch.nn.modules.sparse import Embedding` imports a Python module that is not a part of the standard library; this can execute arbitrary code and is inherently unsafe
`from torch._utils import _rebuild_parameter` imports a Python module that is not a part of the standard library; this can execute arbitrary code and is inherently unsafe
`from torch import FloatStorage` imports a Python module that is not a part of the standard library; this can execute arbitrary code and is inherently unsafe
`from torch.nn.modules.normalization import LayerNorm` imports a Python module that is not a part of the standard library; this can execute arbitrary code and is inherently unsafe
`from torch.nn.modules.dropout import Dropout` imports a Python module that is not a part of the standard library; this can execute arbitrary code and is inherently unsafe
`from transformers.models.roberta.modeling_roberta import RobertaEncoder` imports a Python module that is not a part of the standard library; this can execute arbitrary code and is inherently unsafe
`from torch.nn.modules.container import ModuleList` imports a Python module that is not a part of the standard library; this can execute arbitrary code and is inherently unsafe
`from transformers.models.roberta.modeling_roberta import RobertaLayer` imports a Python module that is not a part of the standard library; this can execute arbitrary code and is inherently unsafe
`from transformers.models.roberta.modeling_roberta import RobertaAttention` imports a Python module that is not a part of the standard library; this can execute arbitrary code and is inherently unsafe
`from transformers.models.roberta.modeling_roberta import RobertaSelfAttention` imports a Python module that is not a part of the standard library; this can execute arbitrary code and is inherently unsafe
`from torch.nn.modules.linear import Linear` imports a Python module that is not a part of the standard library; this can execute arbitrary code and is inherently unsafe
`from transformers.models.roberta.modeling_roberta import RobertaSelfOutput` imports a Python module that is not a part of the standard library; this can execute arbitrary code and is inherently unsafe
`from transformers.models.roberta.modeling_roberta import RobertaIntermediate` imports a Python module that is not a part of the standard library; this can execute arbitrary code and is inherently unsafe
`from transformers.activations import GELUActivation` imports a Python module that is not a part of the standard library; this can execute arbitrary code and is inherently unsafe
`from torch._C._nn import gelu` imports a Python module that is not a part of the standard library; this can execute arbitrary code and is inherently unsafe
`from transformers.models.roberta.modeling_roberta import RobertaOutput` imports a Python module that is not a part of the standard library; this can execute arbitrary code and is inherently unsafe
`from transformers.models.roberta.configuration_roberta import RobertaConfig` imports a Python module that is not a part of the standard library; this can execute arbitrary code and is inherently unsafe
`from transformers.models.roberta.modeling_roberta import RobertaClassificationHead` imports a Python module that is not a part of the standard library; this can execute arbitrary code and is inherently unsafe
`from posix import system` uses `posix` that is indicative of a malicious pickle file. This module contains functions that can perform system operations and execute arbitrary code.
`from posix import system` is suspicious and indicative of an overtly malicious pickle file
Variable `_var0` is assigned value `system(...)` but unused afterward; this is suspicious and indicative of a malicious pickle file","Weights only load failed. In PyTorch 2.6, we changed the default value of the `weights_only` argument in `torch.load` from `False` to `True`. Re-running `torch.load` with `weights_only` set to `False` will likely succeed, but it can result in arbitrary code execution. Do it only if you got the file from a trusted source.


Trying to load unsupported GLOBAL posix.system whose module posix is blocked.

Check the documentation of torch.load to learn more about types accepted by default with weights_only https://pytorch.org/docs/stable/generated/torch.load.html."
/home/xyz/GitHub/abc/data/MALHUGxPickleball/zhuzhuzai/harmless_model_for_research/harmless_model_for_research/pytorch/pytorch_reduce_os_system.pt,True,True,True,True,Severity.LIKELY_OVERTLY_MALICIOUS,True,"/home/xyz/GitHub/abc/data/MALHUGxPickleball/zhuzhuzai/harmless_model_for_research/harmless_model_for_research/pytorch/pytorch_reduce_os_system.pt:12/data.pkl: dangerous import 'posix system' FOUND
----------- SCAN SUMMARY -----------
Scanned files: 1
Infected files: 1
Dangerous globals: 1
","No settings file detected at /home/xyz/GitHub/benchmarking_hub_test/modelscan-settings.toml. Using defaults. 

Scanning /home/xyz/GitHub/abc/data/MALHUGxPickleball/zhuzhuzai/harmless_model_for_research/harmless_model_for_research/pytorch/pytorch_reduce_os_system.pt:12/data.pkl using modelscan.scanners.PickleUnsafeOpScan model scan

--- Summary ---

Total Issues: 1

Total Issues By Severity:

    - LOW: 0
    - MEDIUM: 0
    - HIGH: 0
    - CRITICAL: 1

--- Issues by Severity ---

--- CRITICAL ---

Unsafe operator found:
  - Severity: CRITICAL
  - Description: Use of unsafe operator 'system' from module 'posix'
  - Source: /home/xyz/GitHub/abc/data/MALHUGxPickleball/zhuzhuzai/harmless_model_for_research/harmless_model_for_research/pytorch/pytorch_reduce_os_system.pt:12/data.pkl

--- Skipped --- 

Total skipped: 3 - run with --show-skipped to see the full list.
","`from posix import system` uses `posix` that is indicative of a malicious pickle file. This module contains functions that can perform system operations and execute arbitrary code.
`from posix import system` is suspicious and indicative of an overtly malicious pickle file
Variable `_var0` is assigned value `system('ls /')` but unused afterward; this is suspicious and indicative of a malicious pickle file","Weights only load failed. In PyTorch 2.6, we changed the default value of the `weights_only` argument in `torch.load` from `False` to `True`. Re-running `torch.load` with `weights_only` set to `False` will likely succeed, but it can result in arbitrary code execution. Do it only if you got the file from a trusted source.


Trying to load unsupported GLOBAL posix.system whose module posix is blocked.

Check the documentation of torch.load to learn more about types accepted by default with weights_only https://pytorch.org/docs/stable/generated/torch.load.html."
/home/xyz/GitHub/abc/data/MALHUGxPickleball/zhuzhuzai/harmless_model_for_research/harmless_model_for_research/pytorch/pytorch_reduce_eval.pt,True,True,True,True,Severity.OVERTLY_MALICIOUS,True,"/home/xyz/GitHub/abc/data/MALHUGxPickleball/zhuzhuzai/harmless_model_for_research/harmless_model_for_research/pytorch/pytorch_reduce_eval.pt:12/data.pkl: dangerous import '__builtin__ eval' FOUND
----------- SCAN SUMMARY -----------
Scanned files: 1
Infected files: 1
Dangerous globals: 1
","No settings file detected at /home/xyz/GitHub/benchmarking_hub_test/modelscan-settings.toml. Using defaults. 

Scanning /home/xyz/GitHub/abc/data/MALHUGxPickleball/zhuzhuzai/harmless_model_for_research/harmless_model_for_research/pytorch/pytorch_reduce_eval.pt:12/data.pkl using modelscan.scanners.PickleUnsafeOpScan model scan

--- Summary ---

Total Issues: 1

Total Issues By Severity:

    - LOW: 0
    - MEDIUM: 0
    - HIGH: 0
    - CRITICAL: 1

--- Issues by Severity ---

--- CRITICAL ---

Unsafe operator found:
  - Severity: CRITICAL
  - Description: Use of unsafe operator 'eval' from module '__builtin__'
  - Source: /home/xyz/GitHub/abc/data/MALHUGxPickleball/zhuzhuzai/harmless_model_for_research/harmless_model_for_research/pytorch/pytorch_reduce_eval.pt:12/data.pkl

--- Skipped --- 

Total skipped: 3 - run with --show-skipped to see the full list.
","Call to `eval(""torch.os.system('ls')"")` is almost certainly evidence of a malicious pickle file
Call to `eval(""torch.os.system('ls')"")` is almost certainly evidence of a malicious pickle file
Variable `_var0` is assigned value `eval(""torch.os.system('ls')"")` but unused afterward; this is suspicious and indicative of a malicious pickle file","Weights only load failed. This file can still be loaded, to do so you have two options, [1mdo those steps only if you trust the source of the checkpoint[0m. 
	(1) In PyTorch 2.6, we changed the default value of the `weights_only` argument in `torch.load` from `False` to `True`. Re-running `torch.load` with `weights_only` set to `False` will likely succeed, but it can result in arbitrary code execution. Do it only if you got the file from a trusted source.
	(2) Alternatively, to load with `weights_only=True` please check the recommended steps in the following error message.
	WeightsUnpickler error: Unsupported global: GLOBAL eval was not an allowed global by default. Please use `torch.serialization.add_safe_globals([eval])` or the `torch.serialization.safe_globals([eval])` context manager to allowlist this global if you trust this class/function.

Check the documentation of torch.load to learn more about types accepted by default with weights_only https://pytorch.org/docs/stable/generated/torch.load.html."
/home/xyz/GitHub/abc/data/MALHUGxPickleball/zhuzhuzai/harmless_model_for_research/harmless_model_for_research/pytorch/pytorch_reduce_test.pt,True,True,True,True,Severity.LIKELY_OVERTLY_MALICIOUS,True,"/home/xyz/GitHub/abc/data/MALHUGxPickleball/zhuzhuzai/harmless_model_for_research/harmless_model_for_research/pytorch/pytorch_reduce_test.pt:pytorch_model/data.pkl: dangerous import 'posix system' FOUND
----------- SCAN SUMMARY -----------
Scanned files: 1
Infected files: 1
Dangerous globals: 1
","No settings file detected at /home/xyz/GitHub/benchmarking_hub_test/modelscan-settings.toml. Using defaults. 

Scanning /home/xyz/GitHub/abc/data/MALHUGxPickleball/zhuzhuzai/harmless_model_for_research/harmless_model_for_research/pytorch/pytorch_reduce_test.pt:pytorch_model/data.pkl using modelscan.scanners.PickleUnsafeOpScan model scan

--- Summary ---

Total Issues: 1

Total Issues By Severity:

    - LOW: 0
    - MEDIUM: 0
    - HIGH: 0
    - CRITICAL: 1

--- Issues by Severity ---

--- CRITICAL ---

Unsafe operator found:
  - Severity: CRITICAL
  - Description: Use of unsafe operator 'system' from module 'posix'
  - Source: /home/xyz/GitHub/abc/data/MALHUGxPickleball/zhuzhuzai/harmless_model_for_research/harmless_model_for_research/pytorch/pytorch_reduce_test.pt:pytorch_model/data.pkl

--- Skipped --- 

Total skipped: 3 - run with --show-skipped to see the full list.
","`from posix import system` uses `posix` that is indicative of a malicious pickle file. This module contains functions that can perform system operations and execute arbitrary code.
`from posix import system` is suspicious and indicative of an overtly malicious pickle file
Variable `_var0` is assigned value `system(...)` but unused afterward; this is suspicious and indicative of a malicious pickle file","Weights only load failed. In PyTorch 2.6, we changed the default value of the `weights_only` argument in `torch.load` from `False` to `True`. Re-running `torch.load` with `weights_only` set to `False` will likely succeed, but it can result in arbitrary code execution. Do it only if you got the file from a trusted source.


Trying to load unsupported GLOBAL posix.system whose module posix is blocked.

Check the documentation of torch.load to learn more about types accepted by default with weights_only https://pytorch.org/docs/stable/generated/torch.load.html."
